Ativo,Data,Intervalo,Volume
BTCUSDT,2025-05-04 02:00:00,1h,601.08361
BTCUSDT,2025-05-04 03:00:00,1h,417.46141
BTCUSDT,2025-05-04 04:00:00,1h,179.1173
BTCUSDT,2025-05-04 05:00:00,1h,172.37453
BTCUSDT,2025-05-04 06:00:00,1h,424.92585
BTCUSDT,2025-05-04 07:00:00,1h,692.73061
BTCUSDT,2025-05-04 08:00:00,1h,490.02708
BTCUSDT,2025-05-04 09:00:00,1h,527.23215
BTCUSDT,2025-05-04 10:00:00,1h,310.07736
BTCUSDT,2025-05-04 11:00:00,1h,773.39161
BTCUSDT,2025-05-04 12:00:00,1h,536.26108
BTCUSDT,2025-05-04 13:00:00,1h,477.89798
BTCUSDT,2025-05-04 14:00:00,1h,674.42935
BTCUSDT,2025-05-04 15:00:00,1h,530.30708
BTCUSDT,2025-05-04 16:00:00,1h,299.31438
BTCUSDT,2025-05-04 17:00:00,1h,272.45717
BTCUSDT,2025-05-04 18:00:00,1h,233.31093
BTCUSDT,2025-05-04 19:00:00,1h,159.81219
BTCUSDT,2025-05-04 20:00:00,1h,198.19245
BTCUSDT,2025-05-04 21:00:00,1h,158.45621
BTCUSDT,2025-05-04 22:00:00,1h,158.95366
BTCUSDT,2025-05-04 23:00:00,1h,1114.48671
BTCUSDT,2025-05-05 00:00:00,1h,1308.4485
BTCUSDT,2025-05-05 01:00:00,1h,932.79975
BTCUSDT,2025-05-05 02:00:00,1h,1247.1533
BTCUSDT,2025-05-05 03:00:00,1h,1251.31986
BTCUSDT,2025-05-05 04:00:00,1h,708.86733
BTCUSDT,2025-05-05 05:00:00,1h,527.17304
BTCUSDT,2025-05-05 06:00:00,1h,548.84952
BTCUSDT,2025-05-05 07:00:00,1h,572.76764
BTCUSDT,2025-05-05 08:00:00,1h,686.95355
BTCUSDT,2025-05-05 09:00:00,1h,741.14212
BTCUSDT,2025-05-05 10:00:00,1h,422.95101
BTCUSDT,2025-05-05 11:00:00,1h,686.41681
BTCUSDT,2025-05-05 12:00:00,1h,690.58723
BTCUSDT,2025-05-05 13:00:00,1h,505.90389
BTCUSDT,2025-05-05 14:00:00,1h,1740.41182
BTCUSDT,2025-05-05 15:00:00,1h,1219.57947
BTCUSDT,2025-05-05 16:00:00,1h,718.82999
BTCUSDT,2025-05-05 17:00:00,1h,673.96047
BTCUSDT,2025-05-05 18:00:00,1h,808.59817
BTCUSDT,2025-05-05 19:00:00,1h,448.44051
BTCUSDT,2025-05-05 20:00:00,1h,408.27957
BTCUSDT,2025-05-05 21:00:00,1h,332.90812
BTCUSDT,2025-05-05 22:00:00,1h,385.77053
BTCUSDT,2025-05-05 23:00:00,1h,601.63917
BTCUSDT,2025-05-06 00:00:00,1h,389.87902
BTCUSDT,2025-05-06 01:00:00,1h,365.15387
BTCUSDT,2025-05-06 02:00:00,1h,370.75779
BTCUSDT,2025-05-06 03:00:00,1h,407.51157
BTCUSDT,2025-05-06 04:00:00,1h,443.01047
BTCUSDT,2025-05-06 05:00:00,1h,265.48199
BTCUSDT,2025-05-06 06:00:00,1h,415.59566
BTCUSDT,2025-05-06 07:00:00,1h,166.28019
BTCUSDT,2025-05-06 08:00:00,1h,463.16874
BTCUSDT,2025-05-06 09:00:00,1h,750.85954
BTCUSDT,2025-05-06 10:00:00,1h,394.38809
BTCUSDT,2025-05-06 11:00:00,1h,952.04682
BTCUSDT,2025-05-06 12:00:00,1h,569.28808
BTCUSDT,2025-05-06 13:00:00,1h,892.19632
BTCUSDT,2025-05-06 14:00:00,1h,1216.74306
BTCUSDT,2025-05-06 15:00:00,1h,1158.07394
BTCUSDT,2025-05-06 16:00:00,1h,655.62537
BTCUSDT,2025-05-06 17:00:00,1h,702.36173
BTCUSDT,2025-05-06 18:00:00,1h,527.86999
BTCUSDT,2025-05-06 19:00:00,1h,617.6658
BTCUSDT,2025-05-06 20:00:00,1h,488.90954
BTCUSDT,2025-05-06 21:00:00,1h,334.30989
BTCUSDT,2025-05-06 22:00:00,1h,258.69487
BTCUSDT,2025-05-06 23:00:00,1h,2145.62831
BTCUSDT,2025-05-07 00:00:00,1h,1561.0235
BTCUSDT,2025-05-07 01:00:00,1h,1840.35542
BTCUSDT,2025-05-07 02:00:00,1h,1127.65564
BTCUSDT,2025-05-07 03:00:00,1h,1178.21775
BTCUSDT,2025-05-07 04:00:00,1h,1034.18372
BTCUSDT,2025-05-07 05:00:00,1h,447.19739
BTCUSDT,2025-05-07 06:00:00,1h,489.09676
